layer,row,col,value
fc1,29,8,0.174932
fc1,29,9,0.206322
fc1,29,10,-0.192692
fc1,30,0,0.126221
fc1,30,1,0.0178295
fc1,30,2,0.0141452
fc1,30,3,0.0161075
fc1,30,4,-0.0892997
fc1,30,5,0.231565
fc1,30,6,-0.164549
fc1,30,7,-0.084666
fc1,30,8,0.16199
fc1,30,9,0.124238
fc1,30,10,0.113913
fc1,31,0,0.0128355
fc1,31,1,0.0381468
fc1,31,2,0.213383
fc1,31,3,-0.102428
fc1,31,4,-0.0289305
fc1,31,5,-0.211181
fc1,31,6,-0.097602
fc1,31,7,0.0952482
fc1,31,8,0.183045
fc1,31,9,0.115418
fc1,31,10,-0.0556705
fc1,32,0,-0.155304
fc1,32,1,-0.171541
fc1,32,2,-0.0383523
fc1,32,3,0.0499127
fc1,32,4,0.1253
fc1,32,5,-0.126848
fc1,32,6,-0.143715
fc1,32,7,0.190846
fc1,32,8,-0.145984
fc1,32,9,-0.155913
fc1,32,10,0.0272712
fc1,33,0,-0.222468
fc1,33,1,0.167516
fc1,33,2,-0.085778
fc1,33,3,-0.0698483
fc1,33,4,0.194261
fc1,33,5,-0.02672
fc1,33,6,0.273712
fc1,33,7,-0.171565
fc1,33,8,-0.0740335
fc1,33,9,0.303535
fc1,33,10,0.0654002
fc1,34,0,-0.118871
fc1,34,1,-0.0108652
fc1,34,2,-0.0698065
fc1,34,3,-0.0705335
fc1,34,4,0.187436
fc1,34,5,-0.235641
fc1,34,6,-0.162054
fc1,34,7,0.131366
fc1,34,8,0.125707
fc1,34,9,0.0666667
fc1,34,10,-0.00481025
fc1,35,0,0.346661
fc1,35,1,0.0312413
fc1,35,2,0.070822
fc1,35,3,0.229848
fc1,35,4,-0.257915
fc1,35,5,0.0151268
fc1,35,6,0.04801
fc1,35,7,-0.171323
fc1,35,8,0.168611
fc1,35,9,0.0176207
fc1,35,10,-0.0295202
fc1,36,0,0.0908162
fc1,36,1,-0.254881
fc1,36,2,-0.16995
fc1,36,3,0.0190907
fc1,36,4,-0.070378
fc1,36,5,0.020362
fc1,36,6,-0.174331
fc1,36,7,-0.17615
fc1,36,8,0.0340515
fc1,36,9,0.169838
fc1,36,10,-0.274152
fc1,37,0,-0.133391
fc1,37,1,0.00821025
fc1,37,2,-0.010169
fc1,37,3,-0.121872
fc1,37,4,0.184637
fc1,37,5,0.13477
fc1,37,6,-0.151835
fc1,37,7,-0.0301205
fc1,37,8,0.017014
fc1,37,9,-0.121176
fc1,37,10,-0.0664995
fc1,38,0,0.247095
fc1,38,1,-0.189522
fc1,38,2,0.0414895
fc1,38,3,0.0008075
fc1,38,4,0.122924
fc1,38,5,0.119956
fc1,38,6,-0.0429435
fc1,38,7,-0.155562
fc1,38,8,-0.187318
fc1,38,9,0.004959
fc1,38,10,0.0882022
fc1,39,0,-0.292555
fc1,39,1,0.160763
fc1,39,2,-0.187644
fc1,39,3,0.125896
fc1,39,4,0.0852843
fc1,39,5,-0.0012915
fc1,39,6,-0.0803598
fc1,39,7,0.165662
fc1,39,8,0.10382
fc1,39,9,-0.0501223
fc1,39,10,0.134323
fc1,40,0,0.145603
fc1,40,1,-0.090573
fc1,40,2,0.0960328
fc1,40,3,0.0469302
fc1,40,4,0.0148102
fc1,40,5,-0.21416
fc1,40,6,0.243789
fc1,40,7,-0.13441
fc1,40,8,-0.0838775
fc1,40,9,0.106386
fc1,40,10,0.149453
fc1,41,0,0.144877
fc1,41,1,-0.0324928
fc1,41,2,0.072378
fc1,41,3,-0.12612
fc1,41,4,0.106253
fc1,41,5,0.199378
fc1,41,6,-0.0354595
fc1,41,7,0.267656
fc1,41,8,0.158146
fc1,41,9,-0.0422185
fc1,41,10,0.019358
fc1,42,0,-0.279529
fc1,42,1,0.00607625
fc1,42,2,-0.216927
fc1,42,3,0.114863
fc1,42,4,0.268477
fc1,42,5,0.208637
fc1,42,6,0.133293
fc1,42,7,0.163074
fc1,42,8,-0.076412
fc1,42,9,-0.184943
fc1,42,10,0.229776
fc1,43,0,0.115141
fc1,43,1,-0.0039385
fc1,43,2,0.208973
fc1,43,3,0.280867
fc1,43,4,0.25865
fc1,43,5,0.170761
fc1,43,6,-0.130265
fc1,43,7,0.166686
fc1,43,8,0.162927
fc1,43,9,-0.1376
fc1,43,10,0.10713
fc1,44,0,0.064811
fc1,44,1,0.231015
fc1,44,2,0.14487
fc1,44,3,-0.00155325
fc1,44,4,0.0605643
fc1,44,5,-0.0860915
fc1,44,6,0.019269
fc1,44,7,-0.037807
fc1,44,8,0.134481
fc1,44,9,0.0358788
fc1,44,10,0.129702
fc1,45,0,-0.128161
fc1,45,1,0.210911
fc1,45,2,0.0905145
fc1,45,3,0.033931
fc1,45,4,0.160285
fc1,45,5,-0.127172
fc1,45,6,-0.0571192
fc1,45,7,-0.183381
fc1,45,8,0.00392675
fc1,45,9,-0.0841888
fc1,45,10,-0.072847
fc1,46,0,-0.0524338
fc1,46,1,0.174686
fc1,46,2,-0.038338
fc1,46,3,0.091615
fc1,46,4,0.133771
fc1,46,5,0.1756
fc1,46,6,-0.100797
fc1,46,7,-0.113161
fc1,46,8,0.22281
fc1,46,9,0.019881
fc1,46,10,-0.108418
fc1,47,0,0.078592
fc1,47,1,0.120135
fc1,47,2,-0.17012
fc1,47,3,-0.172435
fc1,47,4,0.00751625
fc1,47,5,-0.0552415
fc1,47,6,0.121798
fc1,47,7,-0.0790172
fc1,47,8,-0.0336692
fc1,47,9,-0.0843225
fc1,47,10,-0.178624
fc1,48,0,-0.0796383
fc1,48,1,-0.232565
fc1,48,2,-0.150136
fc1,48,3,-0.0247
fc1,48,4,-0.127124
fc1,48,5,-0.164164
fc1,48,6,0.0530745
fc1,48,7,0.0435792
fc1,48,8,-0.0227145
fc1,48,9,-0.107248
fc1,48,10,0.070433
fc1,49,0,0.147337
fc1,49,1,-0.0134557
fc1,49,2,0.0783905
fc1,49,3,-0.105584
fc1,49,4,0.0660422
fc1,49,5,0.0862653
fc1,49,6,0.152701
fc1,49,7,0.184187
fc1,49,8,-0.171396
fc1,49,9,-0.26232
fc1,49,10,0.018182
fc1,50,0,-0.033008
fc1,50,1,0.13123
fc1,50,2,-0.0596152
fc1,50,3,0.055598
fc1,50,4,0.0905948
fc1,50,5,0.0861035
fc1,50,6,0.16782
fc1,50,7,-0.16072
fc1,50,8,-0.0983137
fc1,50,9,-0.206634
fc1,50,10,0.104418
fc1,51,0,0.244268
fc1,51,1,0.0978215
fc1,51,2,0.0112073
fc1,51,3,0.143825
fc1,51,4,0.146477
fc1,51,5,0.109525
fc1,51,6,-0.285956
fc1,51,7,-0.0303228
fc1,51,8,-0.0263642
fc1,51,9,-0.0614453
fc1,51,10,-0.277263
