layer,row,col,value
fc1,49,5,0.04829
fc1,49,6,0.203546
fc1,49,7,0.282151
fc1,49,8,-0.158937
fc1,49,9,-0.2556
fc1,49,10,-0.05701
fc1,50,0,-0.012794
fc1,50,1,0.241699
fc1,50,2,-0.145498
fc1,50,3,-0.02506
fc1,50,4,0.199692
fc1,50,5,0.200954
fc1,50,6,0.22992
fc1,50,7,-0.255982
fc1,50,8,-0.21514
fc1,50,9,-0.193572
fc1,50,10,0.217003
fc1,51,0,0.238649
fc1,51,1,0.131476
fc1,51,2,0.101975
fc1,51,3,0.184505
fc1,51,4,0.09962
fc1,51,5,0.1891
fc1,51,6,-0.286424
fc1,51,7,0.052982
fc1,51,8,0.035837
fc1,51,9,-0.137639
fc1,51,10,-0.273158
fc1,52,0,-0.098448
fc1,52,1,0.001642
fc1,52,2,0.035092
fc1,52,3,-0.183994
fc1,52,4,0.040194
fc1,52,5,0.114403
fc1,52,6,-0.159479
fc1,52,7,-0.178422
fc1,52,8,0.018619
fc1,52,9,0.001488
fc1,52,10,0.164973
fc1,53,0,-0.343294
fc1,53,1,0.212608
fc1,53,2,-0.298154
fc1,53,3,-0.127667
fc1,53,4,-0.079378
fc1,53,5,0.131257
fc1,53,6,0.103756
fc1,53,7,-0.068243
fc1,53,8,-0.191185
fc1,53,9,-0.228836
fc1,53,10,0.24439
fc1,54,0,0.127475
fc1,54,1,0.206672
fc1,54,2,0.202531
fc1,54,3,-0.058638
fc1,54,4,-0.063237
fc1,54,5,-0.157835
fc1,54,6,-0.280185
fc1,54,7,0.07599
fc1,54,8,0.301138
fc1,54,9,0.053105
fc1,54,10,-0.067003
fc1,55,0,0.173939
fc1,55,1,-0.107468
fc1,55,2,0.020905
fc1,55,3,0.135879
fc1,55,4,0.126005
fc1,55,5,0.174131
fc1,55,6,0.072111
fc1,55,7,0.189576
fc1,55,8,0.077828
fc1,55,9,0.211285
fc1,55,10,-0.104539
fc1,56,0,-0.228948
fc1,56,1,0.147391
fc1,56,2,0.214354
fc1,56,3,0.190219
fc1,56,4,0.340482
fc1,56,5,0.151182
fc1,56,6,0.202609
fc1,56,7,-0.269918
fc1,56,8,-0.322219
fc1,56,9,0.112439
fc1,56,10,0.126485
fc1,57,0,-0.109143
fc1,57,1,0.04769
fc1,57,2,0.246138
fc1,57,3,0.141446
fc1,57,4,0.014707
fc1,57,5,-0.069252
fc1,57,6,0.047666
fc1,57,7,0.066967
fc1,57,8,-0.209301
fc1,57,9,-0.270743
fc1,57,10,-0.205788
fc1,58,0,0.0802
fc1,58,1,0.222934
fc1,58,2,0.138076
